2021-11-17 18:26:26,473 [RMI TCP Connection(2)-172.16.0.118] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-17 18:26:26,474 [RMI TCP Connection(2)-172.16.0.118] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2021-11-17 18:26:26,489 [RMI TCP Connection(2)-172.16.0.118] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 14 ms
2021-11-17 18:26:55,439 [com.alibaba.nacos.client.Worker.longPolling.fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:522 - get changedGroupKeys:[]
2021-11-17 18:27:12,291 [SpringContextShutdownHook] INFO  [com.alibaba.nacos.client.naming] EventDispatcher.java:75 - [LISTENER] removing DEFAULT_GROUP@@fx-uaa-server with DEFAULT from listener map
2021-11-17 18:27:12,295 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-17 18:27:12,419 [SpringContextShutdownHook] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:86 - De-registering from Nacos Server now...
2021-11-17 18:27:12,419 [SpringContextShutdownHook] INFO  [com.alibaba.nacos.client.naming] BeatReactor.java:79 - [BEAT] removing beat: DEFAULT_GROUP@@fx-uaa-server:172.16.0.118:9997 from beat map.
2021-11-17 18:27:12,419 [SpringContextShutdownHook] INFO  [com.alibaba.nacos.client.naming] NamingProxy.java:218 - [DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@fx-uaa-server with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceIdGenerator":"simple","ip":"172.16.0.118","ipDeleteTimeout":30000,"metadata":{},"port":9997,"weight":1.0}
2021-11-17 18:27:12,424 [SpringContextShutdownHook] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:106 - De-registration finished.
2021-11-17 18:27:12,425 [SpringContextShutdownHook] WARN  [o.s.c.annotation.CommonAnnotationBeanPostProcessor] InitDestroyAnnotationBeanPostProcessor.java:185 - Destroy method on bean with name 'nacosAutoServiceRegistration' threw an exception: java.lang.NoSuchMethodError: com.alibaba.nacos.api.naming.NamingService.shutDown()V
2021-11-17 18:27:12,425 [SpringContextShutdownHook] WARN  [o.s.beans.factory.support.DisposableBeanAdapter] DisposableBeanAdapter.java:349 - Destroy method 'close' on bean with name 'nacosServiceRegistry' threw an exception: java.lang.NoSuchMethodError: com.alibaba.nacos.api.naming.NamingService.shutDown()V
2021-11-17 18:27:12,430 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:350 - HikariPool-1 - Shutdown initiated...
2021-11-17 18:27:12,439 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:352 - HikariPool-1 - Shutdown completed.
